id;name;inn;last_modified_date
B7E53B51-0351-4740-9BF2-08CE65905080;ОАО "Ромашка";7715641735;2024-02-24 00:00:00
A737490D-D7F8-45AE-827F-DB782D3C841F;ЗАО "Петрушка";7733642160;2024-02-24 00:00:00
D525F35F-27E9-43BC-A77B-23C88BBD9BD2;ООО "Кекс";7702070139;2024-02-24 00:00:00
2DEBB17E-68FC-4001-92F7-8E9647FDBC68;Cool Industries inc.;9909115012;2024-02-24 00:00:00
AA0DFAF1-721F-45C4-B577-315AB27AA23D;Ноготочки;7728168971;2024-02-24 00:00:00
17FA11B0-F248-4141-9583-396B8378663E;Пятёрочка;7705494584;2024-02-24 00:00:00
23415CF1-7E7F-470D-8E86-836334DDDCE4;Шестёрочка;7728029110;2024-02-24 00:00:00
251FDAF1-322C-4BEC-B11F-2AA3B052DA84;Seven Eleven;5047076050;2024-02-24 00:00:00
48926D2D-FFD8-42AF-AE6C-E2B5385025BD;Мебель для всех;7705998817;2024-02-24 00:00:00
1DBD01A7-9619-434D-88C9-1416429E2190;Мвидео;7707083893;2024-02-24 00:00:00